# 20190926-164803-Current\s,A
580.763457537,3.209946
581.766530514,3.210328
582.769489765,3.209946
583.772392988,3.209946
584.774853706,3.210328
585.778446436,3.209946
586.781402349,3.210328
587.784332514,3.209946
588.787338734,3.209946
589.790723324,3.209946
590.793286085,3.209946
591.796653986,3.209946
592.799607992,3.209946
593.802637339,3.209946
594.805540562,3.209946
595.808546782,3.209946
596.811486959,3.209946
597.814545155,3.209946
598.817461491,3.209946
599.820423603,3.209946
600.823440313,3.209946
601.82648468,3.209946
602.829370737,3.209946
603.83235836,3.209946
604.835362911,3.209946
605.838422298,3.209946
606.841269016,3.209946
607.844291687,3.209946
608.847297192,3.209946
609.850321531,3.209946
610.853242159,3.209946
611.856193781,3.209564
612.859318495,3.209564
613.862198353,3.209564
614.865124702,3.209564
615.868144989,3.209946
616.871160984,3.209564
617.874064207,3.209946
618.877059698,3.209564
619.880073547,3.209946
620.883111715,3.209564
621.885970831,3.209946
622.88898778,3.209946
623.891984463,3.209946
624.89507556,3.209564
625.897964478,3.209564
626.90106678,3.209564
627.903870344,3.209564
628.906956196,3.209946
629.906771898,0.0
630.912781954,3.209564
631.915835857,3.209946
632.918890238,3.209946
633.92180109,3.209564
634.924782276,3.209564
635.92774868,3.209564
636.930759668,3.209946
637.933689117,3.209946
638.936655521,3.209946
639.939396143,3.209946
640.942297459,3.209564
641.944848776,3.209564
642.948144197,3.209564
643.951514482,3.209564
644.954960108,3.209564
645.957551718,3.209564
646.96081996,3.209564
647.963797331,3.209564
648.966880798,3.209564
649.969760656,3.209564
650.972724676,3.209564
651.975744247,3.209564
652.978827715,3.209564
653.981709957,3.209564
654.984667301,3.209564
655.987676859,3.209564
656.990716219,3.209564
657.993643999,3.209564
658.996587038,3.209564
659.999807596,3.209564
661.002625942,3.209564
662.005546331,3.209564
663.008485317,3.209564
664.011489868,3.209564
665.014515877,3.209564
666.017461061,3.209564
667.020459414,3.209564
668.023424387,3.209564
669.026613951,3.209564
670.029373884,3.209564
671.032090187,3.209564
672.035319328,3.209564
673.038437843,3.209564
674.041269302,3.209564
675.044128656,3.209564
676.047311783,3.209564
677.0499506,3.209564
678.053196907,3.209564
679.05582881,3.209564
680.059483767,3.209564
681.062704802,3.209564
682.065454245,3.209564
683.06841898,3.209564
684.071407557,3.209564
685.074517727,3.209564
686.07693243,3.209564
687.080327034,3.209564
688.082762718,3.209564
689.085943699,3.209564
690.089176416,3.209564
691.092412233,3.209564
692.095515966,3.209564
693.098171949,3.209564
694.100777626,3.209564
695.104165554,3.209564
696.107196331,3.209564
697.110133171,3.209564
698.113094568,3.209564
699.116056442,3.209564
700.119118929,3.209564
