# 20190926-164806-Temperature\s,Kelvin
518.577909708,3.20307
519.580585003,3.20307
520.58387351,3.20307
521.586383104,3.203452
522.589864254,3.20307
523.592581987,3.20307
524.596190691,3.20307
525.599200964,3.203452
526.602135897,3.203452
527.604800701,3.203452
528.608072281,3.203452
529.611156225,3.20307
530.614042044,3.20307
531.617051125,3.20307
532.620037794,3.203452
533.623076677,3.203452
534.625984192,3.203452
535.628634453,3.203452
536.631973028,3.20307
537.634982109,3.20307
538.63788414,3.203452
539.640608072,3.20307
540.643900394,3.203452
541.646967888,3.20307
542.649850607,3.20307
543.652463675,3.20307
544.655795097,3.203452
545.658856153,3.20307
546.661772013,3.203452
547.664412022,3.20307
548.667720318,3.203452
549.670816183,3.20307
550.673688412,3.203452
551.676360846,3.20307
552.679681778,3.203452
553.682757616,3.20307
554.685940504,3.20307
555.68860054,3.203452
556.691956758,3.203452
557.694975376,3.20307
558.697873354,3.203452
559.700893164,3.20307
560.70386529,3.20307
561.707094431,3.20307
562.709836006,3.20307
563.712471247,3.20307
564.715817928,3.203452
565.718888521,3.203452
566.721736908,3.20307
567.724706411,3.20307
568.727807045,3.20307
569.730728149,3.203452
570.733641386,3.20307
571.736636877,3.20307
572.739402294,3.20307
573.74267602,3.20307
574.745588303,3.20307
575.748570204,3.20307
576.751569748,3.20307
577.754717588,3.203452
578.75757575,3.20307
579.760406256,3.20307
580.763457537,3.203452
581.766530514,3.20307
582.769489765,3.20307
583.772392988,3.203452
584.774853706,3.20307
585.778446436,3.203452
586.781402349,3.203452
587.784332514,3.20307
588.787338734,3.20307
589.790723324,3.20307
590.793286085,3.203452
591.796653986,3.203452
592.799607992,3.20307
593.802637339,3.20307
594.805540562,3.203452
595.808546782,3.20307
596.811486959,3.20307
597.814545155,3.203452
598.817461491,3.20307
599.820423603,3.20307
600.823440313,3.203452
601.82648468,3.20307
602.829370737,3.20307
603.83235836,3.20307
604.835362911,3.203452
605.838422298,3.203452
606.841269016,3.20307
607.844291687,3.203452
608.847297192,3.20307
609.850321531,3.20307
610.853242159,3.20307
611.856193781,3.20307
612.859318495,3.20307
613.862198353,3.20307
614.865124702,3.20307
615.868144989,3.203452
616.871160984,3.203452
617.874064207,3.20307
618.877059698,3.20307
619.880073547,3.20307
620.883111715,3.20307
621.885970831,3.203452
622.88898778,3.203452
623.891984463,3.20307
624.89507556,3.20307
625.897964478,3.20307
626.90106678,3.20307
627.903870344,3.203452
628.906956196,3.198486
629.906771898,3.198486
630.912781954,3.20307
631.915835857,3.20307
632.918890238,3.20307
633.92180109,3.20307
634.924782276,3.20307
635.92774868,3.20307
636.930759668,3.20307
637.933689117,3.20307
638.936655521,3.20307
639.939396143,3.20307
640.942297459,3.20307
641.944848776,3.20307
642.948144197,3.20307
643.951514482,3.20307
644.954960108,3.20307
645.957551718,3.20307
646.96081996,3.20307
647.963797331,3.203452
648.966880798,3.203452
649.969760656,3.203452
650.972724676,3.20307
651.975744247,3.20307
652.978827715,3.20307
653.981709957,3.203452
654.984667301,3.20307
655.987676859,3.20307
656.990716219,3.20307
657.993643999,3.20307
658.996587038,3.20307
659.999807596,3.20307
661.002625942,3.20307
662.005546331,3.203452
663.008485317,3.20307
664.011489868,3.203452
665.014515877,3.20307
666.017461061,3.203452
667.020459414,3.203452
668.023424387,3.20307
669.026613951,3.20307
670.029373884,3.20307
671.032090187,3.20307
672.035319328,3.20307
673.038437843,3.20307
674.041269302,3.20307
675.044128656,3.203452
676.047311783,3.20307
677.0499506,3.20307
678.053196907,3.20307
679.05582881,3.20307
680.059483767,3.20307
681.062704802,3.20307
682.065454245,3.20307
683.06841898,3.20307
684.071407557,3.203452
685.074517727,3.20307
