# 20190926-164808-Balancing\s,OnOff
626.90106678,0.0
627.903870344,0.0
628.906956196,0.0
629.906771898,0.0
630.912781954,0.0
631.915835857,0.0
632.918890238,0.0
633.92180109,0.0
634.924782276,0.0
635.92774868,0.0
636.930759668,0.0
637.933689117,0.0
638.936655521,0.0
639.939396143,0.0
640.942297459,0.0
641.944848776,0.0
642.948144197,0.0
643.951514482,0.0
644.954960108,0.0
645.957551718,0.0
646.96081996,0.0
647.963797331,0.0
648.966880798,0.0
649.969760656,0.0
650.972724676,0.0
651.975744247,0.0
652.978827715,0.0
653.981709957,0.0
654.984667301,0.0
655.987676859,0.0
656.990716219,0.0
657.993643999,0.0
658.996587038,0.0
659.999807596,0.0
661.002625942,0.0
662.005546331,0.0
663.008485317,0.0
664.011489868,0.0
665.014515877,0.0
666.017461061,0.0
667.020459414,0.0
668.023424387,0.0
669.026613951,0.0
670.029373884,0.0
671.032090187,0.0
672.035319328,0.0
673.038437843,0.0
674.041269302,0.0
675.044128656,0.0
676.047311783,0.0
677.0499506,0.0
678.053196907,0.0
679.05582881,0.0
680.059483767,0.0
681.062704802,0.0
682.065454245,0.0
683.06841898,0.0
684.071407557,0.0
685.074517727,0.0
686.07693243,0.0
687.080327034,0.0
688.082762718,0.0
689.085943699,0.0
690.089176416,0.0
691.092412233,0.0
692.095515966,0.0
693.098171949,0.0
694.100777626,0.0
695.104165554,0.0
696.107196331,0.0
697.110133171,0.0
698.113094568,0.0
699.116056442,0.0
700.119118929,0.0
