# 20190926-164800-Voltage
# s,V
135.429462671,3.068988
136.432356596,3.068988
137.434791327,3.068606
138.438774347,3.068988
139.441555738,3.068988
140.444557428,3.068988
141.447588682,3.068988
142.450770617,3.068988
143.453632116,3.068988
144.456414938,3.068988
145.459739447,3.068988
146.462772608,3.068606
147.4660604,3.068988
148.469025373,3.068988
149.472306967,3.06937
150.475249052,3.068988
151.47816205,3.068988
152.481198311,3.068988
153.483853102,3.068988
154.487288952,3.068988
155.489885569,3.068988
156.493229389,3.068988
157.495881319,3.068988
158.499279022,3.068988
159.501963139,3.068988
160.505322218,3.068988
161.508320808,3.068988
162.511369705,3.068988
163.514457226,3.068988
164.51738739,3.068988
165.520401955,3.068988
166.523424149,3.068606
167.526128531,3.068988
168.529466867,3.068988
169.532473564,3.068988
170.535380125,3.068988
171.538139582,3.068988
172.541536093,3.068988
173.544548273,3.068988
174.547509909,3.068988
175.550668478,3.068988
176.553587437,3.068988
177.556686401,3.068988
178.559525728,3.068988
179.562288284,3.068988
180.565656662,3.068988
181.568650961,3.06937
182.571668863,3.068988
183.574384689,3.068988
184.577690601,3.068606
185.580676079,3.068988
186.583697796,3.068988
187.586784124,3.068988
188.589713097,3.068988
189.592740536,3.068988
190.595735073,3.068988
191.598719597,3.068988
192.60176754,3.068988
193.604763985,3.068988
194.607814074,3.068988
195.610901594,3.068988
196.614176989,3.068606
197.617125273,3.068988
198.620221376,3.068988
199.623217344,3.068988
200.626228809,3.068988
201.629233837,3.068988
202.632250786,3.068606
203.634924173,3.068988
204.638231993,3.068988
205.64128828,3.068988
206.64428091,3.068988
207.646996021,3.068988
208.65041995,3.068988
209.652997971,3.068988
210.656357765,3.068988
211.659353733,3.06937
212.662405729,3.068988
213.665297985,3.068988
214.668364525,3.068988
215.671308517,3.068606
216.6744771,3.06937
217.676990271,3.068988
218.680384398,3.068988
219.683348656,3.068988
220.686472416,3.068988
221.689090967,3.068988
222.692421913,3.068988
223.695432663,3.068988
224.698524237,3.068988
225.701454639,3.068988
226.704466343,3.068988
227.707450867,3.068988
228.710561275,3.068988
229.713461876,3.068988
230.716483355,3.068988
231.719522715,3.068988
232.722573757,3.068988
233.725216627,3.068988
234.728480816,3.068988
235.731497049,3.068988
236.734600782,3.068988
237.73777914,3.068988
238.740845442,3.068988
239.743882418,3.068988
240.746954203,3.068988
241.749881029,3.068988
242.752889633,3.068988
243.75586462,3.068606
244.758992672,3.068988
245.76199007,3.068988
246.764914751,3.068988
247.767895699,3.068988
248.770992994,3.068988
249.773937464,3.068988
250.776866436,3.068988
251.779925108,3.068606
