# 20191023-155404-t,V1,V2,V3,I
127.840433121,2.98915,3.193902,3.194284,0.0
128.843201399,2.98915,3.193902,3.194284,0.0
129.845823288,2.98915,3.193902,3.194284,0.0
130.848531723,2.98915,3.193902,3.194284,0.0
131.851290941,2.98915,3.193902,3.194284,0.0
132.853906631,2.98915,3.19352,3.194284,0.0
133.856552124,2.98915,3.19352,3.194284,0.0
134.859580517,2.988768,3.19352,3.194284,0.0
135.861704588,2.98915,3.19352,3.194284,0.0
136.86432004,2.98915,3.193902,3.194284,0.0
137.866963387,2.989532,3.193902,3.194284,0.0
138.869758844,2.98915,3.19352,3.194284,0.0
139.872703791,2.98915,3.193902,3.194284,0.0
140.875525236,2.98915,3.193902,3.194284,0.0
141.877760172,2.98915,3.19352,3.194284,0.0
142.880515575,2.98915,3.193902,3.194284,0.0
143.883499861,2.98915,3.193902,3.194284,0.0
144.885881662,2.98915,3.193902,3.194284,0.0
145.888394117,2.98915,3.19352,3.194284,0.0
146.891312122,2.98915,3.19352,3.194284,0.0
147.894377708,2.98915,3.19352,3.194284,0.0
148.896991491,2.98915,3.19352,3.194284,0.0
149.899133205,2.98915,3.193902,3.194284,0.0
150.902418137,2.98915,3.193902,3.194284,0.0
151.905064821,2.98915,3.193902,3.194284,0.0
152.90750432,2.98915,3.19352,3.194284,0.0
153.910418987,2.98915,3.193902,3.194284,0.0
154.912822723,2.98915,3.193902,3.194284,0.0
155.915782213,2.98915,3.193902,3.194284,0.0
156.91850853,2.98915,3.19352,3.194284,0.0
157.921154261,2.98915,3.193902,3.194284,0.0
158.923597097,2.98915,3.19352,3.194284,0.0
159.926370621,2.98915,3.193902,3.194284,0.0
160.929306746,2.98915,3.193902,3.194284,0.0
161.931942701,2.98915,3.193902,3.194284,0.0
162.934626341,2.98915,3.19352,3.194284,0.0
163.937355518,2.98915,3.19352,3.194284,0.0
164.940073967,2.98915,3.19352,3.194284,0.0
165.942813635,2.98915,3.19352,3.194284,0.0
166.945439816,2.98915,3.193902,3.194284,0.0
167.94813323,2.98915,3.19352,3.194284,0.0
168.950942993,2.98915,3.19352,3.194284,0.0
169.953535318,2.98915,3.19352,3.194284,0.0
170.956219673,2.98915,3.193902,3.194284,0.0
171.958971739,2.988768,3.19352,3.194284,0.0
172.961595535,2.98915,3.19352,3.194284,0.0
173.964303493,2.98915,3.193902,3.194284,0.0
174.967071772,2.98915,3.193902,3.194284,0.0
175.969647408,2.98915,3.193902,3.194284,0.0
176.972335815,2.98915,3.193902,3.194284,0.0
177.975153446,2.98915,3.193902,3.194284,0.0
178.977138519,2.98915,3.193902,3.194284,0.0
179.979855061,2.98915,3.193902,3.194284,0.0
180.982418776,2.98915,3.193902,3.194284,0.0
181.985526323,2.98915,3.193902,3.194284,0.0
182.988191605,2.98915,3.193902,3.194284,0.0
183.990964413,2.989532,3.193902,3.194284,0.0
184.9935987,2.989532,3.193902,3.194284,0.0
185.996623278,2.98915,3.193902,3.194284,0.0
186.99938798,2.98915,3.193902,3.194284,0.0
188.002023697,2.98915,3.193902,3.194284,0.0
189.00469327,2.98915,3.193902,3.194284,0.0
190.007446051,2.98915,3.19352,3.194284,0.0
